name,meanADE,meanFDE,medianADE,medianFDE
zara1,0.1647298413367793,0.32365609709855603,0.1289930149765965,0.2235328713085942
hotel,0.1315576177076724,0.20508169260039522,0.10960496356791875,0.12237501334902262
eth,0.4491911213088738,0.8943372869551335,0.3606015940983921,0.553317916019516
univ,0.21045375647885106,0.41823701307188976,0.16443963095587064,0.26978470122141696
zara2,0.12918156718784476,0.26452042987778207,0.08040145158672667,0.10165280891777642
